#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
270,F,Jae Crowder,Utah Jazz,14,12.2%,1.7,0.8,0.458,1.1,0.2,1.4,15.8%,21.1%,12.5%,12.5%,12.5%,20.8%
271,G,Timothé Luwawu-Cabarrot,Philadelphia 76ers,52,6.9%,0.4,0.2,0.435,0.2,0.1,0.3,20%,23.3%,26.1%,8.7%,4.3%,21.7%
272,F,OG Anunoby,Toronto Raptors,60,4.1%,0.2,0.1,0.429,0.1,<0.1,0.1,25%,25%,28.6%,14.3%,14.3%,28.6%
273,G,Justin Holiday,Chicago Bulls,59,11.2%,1.5,0.6,0.427,0.9,0.2,1.2,20.6%,24.3%,20.2%,3.4%,2.2%,19.1%
274,F-G,Iman Shumpert,Cleveland Cavaliers,14,21.5%,1.2,0.5,0.412,0.6,0.1,0.7,20%,25%,35.3%,5.9%,5.9%,17.6%
275,F,Kristaps Porzingis,New York Knicks,49,1.4%,0.3,0.1,0.4,0.2,0.1,0.2,27.3%,27.3%,26.7%,0%,0%,20%
276,G,Brandon Paul,San Antonio Spurs,54,8.9%,0.3,0.1,0.357,0.1,<0.1,0.1,14.3%,14.3%,35.7%,14.3%,7.1%,21.4%
277,G,Sean Kilpatrick,Brooklyn Nets,16,30.9%,2.1,0.7,0.324,1.5,0.3,1.8,14.3%,16.1%,14.7%,2.9%,2.9%,14.7%
278,G,Ron Baker,New York Knicks,29,21.1%,0.7,0.2,0.316,0.3,<0.1,0.4,9.1%,13.6%,31.6%,10.5%,5.3%,15.8%
279,F,Al Farouq Aminu,Portland Trail Blazers,55,1.9%,0.2,0.1,0.3,0.2,<0.1,0.2,10%,15%,0%,0%,0%,10%
280,F,Davis Bertans,San Antonio Spurs,65,2.9%,0.2,<0.1,0.273,0.1,<0.1,0.1,16.7%,16.7%,36.4%,9.1%,9.1%,18.2%
281,G-F,Paul Zipser,Chicago Bulls,50,9.8%,0.5,0.1,0.12,0.3,<0.1,0.3,6.7%,6.7%,36%,4%,4%,8%
282,G,Arron Afflalo,Orlando Magic,47,6.5%,0.2,0,0,0.1,0,0.1,0%,0%,36.4%,0%,0%,0%
