#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
153,F,Jarell Martin,Memphis Grizzlies,63,3.8%,0.3,0.3,0.8,0.2,0.1,0.3,41.2%,41.2%,10%,5%,5%,40%
154,C,Kosta Koufos,Sacramento Kings,64,4.8%,0.3,0.3,0.8,0.2,0.1,0.3,44.4%,44.4%,10%,0%,0%,40%
155,G,Shane Larkin,Boston Celtics,42,11.5%,0.5,0.4,0.8,0.3,0.1,0.4,31.3%,31.3%,5%,15%,15%,40%
156,G,Dion Waiters,Miami Heat,30,17.3%,3,2.4,0.798,1.5,0.8,2.3,33.8%,38.2%,10.1%,14.6%,12.4%,39.3%
157,F,Dillon Brooks,Memphis Grizzlies,68,6%,0.6,0.5,0.795,0.3,0.2,0.6,41%,42.3%,9.1%,2.3%,2.3%,38.6%
158,F,Paul Millsap,Denver Nuggets,25,9.1%,1.4,1.1,0.794,0.7,0.5,1.2,41.4%,41.4%,8.8%,5.9%,5.9%,41.2%
159,F,Jayson Tatum,Boston Celtics,67,10.8%,1.4,1.1,0.793,0.7,0.4,1.2,35.9%,36.5%,6.5%,9.8%,8.7%,39.1%
160,G,Buddy Hield,Sacramento Kings,67,5.5%,0.7,0.6,0.792,0.4,0.2,0.7,35.6%,42.2%,6.3%,0%,0%,33.3%
161,F-G,Joe Johnson,Utah Jazz,32,14.3%,1.2,0.9,0.789,0.5,0.5,1,48.4%,48.4%,18.4%,0%,0%,39.5%
162,F,Trey Lyles,Denver Nuggets,63,6.2%,0.6,0.5,0.789,0.3,0.1,0.4,25.9%,27.8%,5.3%,23.7%,21.1%,39.5%
163,G,Marcus Smart,Boston Celtics,53,8.9%,1.2,0.9,0.787,0.5,0.4,0.9,40.8%,42.9%,14.8%,6.6%,6.6%,37.7%
164,C,DeMarcus Cousins,New Orleans Pelicans,48,12.7%,3.4,2.6,0.784,1.5,1,2.4,39.7%,41.4%,16.7%,16%,14.8%,39.5%
165,G,Gary Harris,Denver Nuggets,65,3.5%,0.6,0.4,0.784,0.4,0.1,0.5,27.3%,31.8%,2.7%,13.5%,13.5%,32.4%
166,F,Jeff Green,Cleveland Cavaliers,65,7.6%,0.8,0.6,0.78,0.5,0.2,0.7,33.3%,34.4%,2%,12%,12%,38%
167,F,Kelly Oubre Jr.,Washington Wizards,68,3.4%,0.4,0.3,0.778,0.2,0.1,0.3,27.3%,29.5%,3.7%,14.8%,14.8%,37%
168,F,Dirk Nowitzki,Dallas Mavericks,67,3.5%,0.4,0.3,0.769,0.2,0.1,0.4,36%,36%,0%,3.8%,0%,38.5%
169,C,Enes Kanter,New York Knicks,64,1.6%,0.2,0.2,0.769,0.1,0.1,0.2,45.5%,45.5%,15.4%,0%,0%,38.5%
170,F,Jabari Parker,Milwaukee Bucks,17,7%,0.8,0.6,0.769,0.5,0.3,0.8,38.5%,38.5%,0%,0%,0%,38.5%
171,F,Mario Hezonja,Orlando Magic,62,6.9%,0.6,0.5,0.769,0.4,0.2,0.5,32.4%,39.7%,5.1%,7.7%,7.7%,33.3%
172,F,Nikola Mirotic,Chicago Bulls,25,7.1%,1,0.8,0.769,0.7,0.3,1,29.2%,33.3%,0%,7.7%,3.8%,34.6%
173,F-G,Evan Turner,Portland Trail Blazers,65,10.7%,1,0.8,0.766,0.5,0.3,0.8,37.7%,37.7%,9.4%,7.8%,7.8%,39.1%
174,G,Jawun Evans,Los Angeles Clippers,42,6.7%,0.5,0.4,0.762,0.3,0.1,0.4,25%,28.1%,4.8%,23.8%,23.8%,38.1%
175,G,T.J. McConnell,Philadelphia 76ers,61,4.4%,0.3,0.3,0.762,0.2,0.1,0.3,44.4%,44.4%,14.3%,0%,0%,38.1%
176,G,Josh Richardson,Miami Heat,68,2.7%,0.4,0.3,0.76,0.1,0.1,0.3,50%,52.8%,28%,0%,0%,36%
177,F,Wilson Chandler,Denver Nuggets,62,11.5%,1.2,0.9,0.76,0.6,0.4,1,39%,39.8%,10.7%,10.7%,10.7%,38.7%
178,F,Aaron Gordon,Orlando Magic,47,9.8%,1.8,1.4,0.756,0.9,0.5,1.4,35.9%,35.9%,11.6%,16.3%,16.3%,40.7%
179,F,TJ Warren,Phoenix Suns,64,6.1%,1.2,0.9,0.747,0.6,0.4,1,39.3%,39.3%,9.3%,10.7%,10.7%,40%
180,G,Andrew Harrison,Memphis Grizzlies,52,10.6%,1.1,0.8,0.745,0.6,0.3,0.8,31.8%,33%,9.1%,14.5%,14.5%,36.4%
181,F-C,Kevin Love,Cleveland Cavaliers,48,3%,0.5,0.4,0.739,0.3,0.1,0.4,35%,35%,8.7%,8.7%,4.3%,34.8%
